名称,,名称のルビ,郵便番号,カテゴリ,住所,緯度,経度,電話番号,説明文,営業時間,定休日,URL,バリアフリー対応,wikidata-link
バンドー神戸青少年科学館,,,'6500046,'2411,神戸市中央区港島中町7-7-6,34.666026,135.218393,078-302-5177,神 戸で唯一のプラネタリウムがある施設、「バンドー神戸青少年科学館」は、「ふれる・つくる・つながる」をコンセプトに、体験型展示やワー クショップ、科学教室などを通して、科学や宇宙の不思議を体験しながら楽しく学べる科学館です。館内には6つの展示室があり、時空ホッパーや、ハンググライダーなどのアトラクションも体験できます。また、科学への興 味を高める「科学実験ショー」や、口径25㎝屈折大望遠鏡「たいよう」で、太陽の黒点やプロミネンスを観測することができる天体観測を毎日開催していま す。プラネタリウムは、「神戸でいちばん星空に近い場所」として、直径20mのドームに広がる星空空間に約2万5千個の星を映し出し、子どもから大人まで楽しめるオリジナル番組や、季節の星空解説を投映します。<br><br>2016年春にはプラネタリウムが全席リクライニングシートへ生まれ変わり、第4・ 第5展示室もリニューアルオープンしました。,月～木　9:30～16:30 /金・ 土・日・祝　9:30～19:00 / 春・夏休み(神戸市が定める小中学校の)9:30～19:00,水(祝日の場合は翌日),,,
ワールド記念ホール,,,'6500046,'2411,神戸市中央区港島中町6-12-2,34.664066,135.210121,078-302-8781,多彩なドラマを演出する、8000人収容の多目的ホール。スポーツから、音楽・展示・周年行事まで、あらゆるイベントに自在に対応。,-,催事により異なる,http://www.kobe-spokyo.jp/world-kobe/,,
神戸国際会議場,,,'6500046,'2411,神戸市中央区港島中町6丁目9-1,34.666234,135.21301,078-302-5200,神戸国際会議場には6ヶ国対応の同時通訳設備を完備した692名収容のメインホール、360名収容の国際会議室のほかレセプションホール、200名収容の会議室3室を含む全21室があります。,9:00 - 21:00（催事により異なる）,12/29～1/3（催事により異なる）,http://kobe-cc.jp/,スロープ、エレベーター、トイレ有,
アシックススポーツミュージアム,,,'6508555,'2411,神戸市中央区港島中町7丁目1-1,34.668785,135.215631,078-303-1329,「スポーツの進化を体感」いただく企業博物館です。トップ選手の使用したシューズなどを、選手のプロフィールと共に展示。トップアスリートの世界記録の凄さも体感していただけます。,10:00～17:00（16:30までにご入館下さい）,毎週日曜日、月曜日、祝日、夏季休暇、年末年始休暇,http://corp.asics.com/jp/about_asics/museum,有（車椅子トイレ・エレベーター・スロープ等ございます）,
神戸国際展示場,,,'6500046,'2411,神戸市中央区港島中町6丁目11-1,34.663719,135.212499,078-302-1020,"神戸国際展示場の展示面積合計は13,600m2。なかでも2号館コンベンションホール（3,800m2）は2分割も可能で展示会や会議・式典（最大4,000名収容）などスタイルを選ばずご利用いただけます。",9:00～17:00（催事により異なる）,12/29～1/3（催事により異なる）,http://kobe-cc.jp/,スロープ、エレベーター、トイレ有,http://www.wikidata.org/entity/Q11589839
神戸市立小磯記念美術館,,,'6580032,'2412,神戸市東灘区向洋町中5-7,34.692814,135.267214,078-857-5880,神戸に生まれ、生涯を通して神戸を制作の拠点とした洋画家・小磯良平の作品を展示する美術館。油彩・素描・版画など約2800点を入れ替え展示し、作品の解説を行うハイビジョンギャラリーも設置。小磯芸術を心ゆくまで楽しむことができます。また、美術館の中庭には小磯良平が40年間使ったアトリエを移築、復元しています。,10:00～17:00,月(月が祝休日の時はその翌日),http://www.city.kobe.lg.jp/koisomuseum/,,http://www.wikidata.org/entity/Q11589991
神戸ゆかりの美術館,,,'6580032,'2412,神戸市東灘区向洋町中2-9-1,34.688539,135.270826,078-858-1520,魅力あふれるKOBEに惹かれ、多くの芸術家がこの街に集い、内外の芸術界に大きな功績を残しました。神戸ゆかりの美術館では、現在活躍中の作家も含め、神戸で育まれたARTを広く紹介しています。 毎週土曜日には、学芸員による作品解説を交えた対話型のギャラリーツアーを開催。参加者が自由に意見を交換し、楽しみながら作品への理解を深めることができます。,10:00～17:00 (入館は16:30まで),月(祝・休日の場合はその翌日),http://www.city.kobe.lg.jp/culture/culture/institution/yukarimuseum/,,
シルクロード　絨毯ギャラリー,,,'6580032,'2412,神戸市東灘区向洋町中6-9,34.689228,135.268283,078-857-0415,手織り絨毯の専門店「絨毯ギャラリー」に併設されたミュージアム。日本で初めて、西はトルコ、イランから東は中国・日本まで、シルクロード絨毯の貴重なコレクションを集めています。 アンティークものからいわくつきの絨毯まで手に触れて間近に見る事ができ、遊牧民の生活や絨毯づくりの工程など、さまざまな関係資料も展示。シルクロード絨毯の全貌を理解することができます。,10:00～17:00,水,http://www.carpetandrug.net/museum.html,,
灘浜サイエンススクエア,,,'6570863,'2413,神戸市灘区灘浜東町2,34.702115,135.236581,078-882-8136,灘浜サイエンススクエアは、遊びながら科学や技術の不思議が体感できる学習施設です。製鉄・発電・エネルギー・環境をテーマにした館内約30点の展示には、解説や使い方の説明がほどんどないのが特徴。自然教室など各種イベントも開催しています。毎週土日・祝日の14:00からは「ものしりひろばの実験屋台」にて科学実験の実演も楽しめます。（第4日曜除く）,9:30～16:30（入館は16:00まで）,月(祝日の場合は翌平日),http://www.kobelco.co.jp/nadahama/science/,,
阪神・淡路大震災記念 人と防災未来センター,,,'6510073,'2413,神戸市中央区脇浜海岸通1-5-2,34.69841,135.215316,078-262-5050,人と防災未来センターは阪神・淡路大震災の経験と教訓を後世に継承し、国内外の災害による被害の軽減に貢献する施設です。西館4階の「1.17シアター」では特撮とCGを駆使して、あの瞬間を再現。大型映像と音響で地震のすさまじさを体感することができます。そのほかにも被災した時計などの現物資料や写真・映像資料、ジオラマ、証言記録などで震災から復興までをたどることができます。また、実験やゲームを通して防災・減災の大切さを学べるコーナー、東日本大震災被災地の3Dドキュメンタリー映像や阪神大水害の映像、南海トラフ巨大地震や首都直下型地震など将来発生する大規模災害の展示もあります。,【日・火～木】9:30～17:30(入館は1時間前まで)/【金・土】9:30～19:00(入館は1時間前まで)/【7月～9月】9:30～18:00(入館は1時間前まで),月(祝日の場合は翌日),http://www.dri.ne.jp/,,http://www.wikidata.org/entity/Q30266361
世良美術館,,,'6580047,'2413,神戸市東灘区御影2-5-21,34.723147,135.252308,078-822-6456,世良美術館は、世良臣絵(せらとみえ)が個人資産で設立した民間文化施設です。「女性がほっとできる空間」をコンセプトにした館内に、世良臣絵の作品や彼女が師事した小磯良平の水彩作品などを常設展示しています。自然光があふれるレンタルスペースは、サロンコンサートやギャラリースペースとしても利用可能。日常空間を忘れて、文化的な時をゆったりと過ごすことができます。,10:00～17:00(入館は16:30迄),月 / 火 / コンサート日 臨時休館あり,http://www.osk.3web.ne.jp/~amon4696/,,
兵庫県立美術館,,,'6510073,'2413,神戸市中央区脇浜海岸通1-1-1,34.699249,135.217853,078-262-0901,兵庫県立美術館では、兵庫ゆかりの作家による近現代作品を中心に約9000点を超えるの作品を所蔵。近代日本洋画を代表する小磯良平、金山平三の2人の画家の記念室を有し、話題性に富んだ国内外の作品を展示する特別展も開催しています。 美術館の設計は、日本を代表する建築家・安藤忠雄氏によるもの。海を間近に臨むユニークな外観は、周囲に設置された彫刻と共に屋外からも楽しむことができます。,10:00～18:00 / 特別展開催中の金・土曜　10:00～20:00,月(祝休日の場合は翌日),http://www.artm.pref.hyogo.jp/,あり,http://www.wikidata.org/entity/Q3329607
神戸市立王子動物園,,,'6570838,'2413,神戸市灘区王子町 3-1,34.709488,135.215289,078-861-5624,神戸市民のみならず、近隣都市からも多くの観光客が訪れる王子動物園。ジャイアントパンダとコアラの両方が見られる、日本で唯一の動物園です。園内では約130種の世界の動物たちを間近に観察することができ、「ホッキョクグマのドボンタイム」や「動物かみしばいとおはなし」など楽しいイベントも随時開催。春には桜の咲き乱れる名所としても知られ、お子さまだけでなくカップルや家族でも楽しめるスポットとして人気です。,3月～10月　9:00～17:00(入園は16:30まで)/11月～2月　9:00～16:30(入園は16:00まで),水(祝日の場合は開園),http://www.kobe-ojizoo.jp/,,http://www.wikidata.org/entity/Q11590062
櫻正宗記念館　櫻宴,,,'6580025,'2413,神戸市東灘区魚崎南町4-3-18,34.710184,135.27146,078-436-3030,灘五郷の中心、「魚崎郷」に位置する櫻正宗記念館  “櫻宴”。阪神・淡路大震災の試練を乗り越えて、正宗名発祥のアイデンティティを後世に遺すべく開設されました。2階の展示室では、櫻正宗創業300年余りの歴史を語る酒瓶・看板・ラベルなどのコレクションを展示。昔の酒造りの様子を収めた貴重な映像も放映しています。 レストランやカフェも併設され、ショップ “櫻蔵” では、別棟の酒蔵(櫻喜蔵)の搾りたてのお酒を量り売り。お土産にぴったりの地元名産品や特産品も取り揃えています。,10:00-22:00(物販・喫茶は19:00まで),火,http://www.sakuramasamune.co.jp/sakuraen/sakuraen_index.html,,
浜福鶴吟醸工房,,はまふくつるぎんじょうこうぼう,'6580025,'2413,神戸市東灘区魚崎南町4-4-6,34.709837,135.272863,078-411-8339,浜福鶴吟醸工房では、近代的な酒づくりの設備とその行程をガラス越しに見学できます。数ある酒蔵テーマ館のなかでも「もろみ仕込み」を見学できるのが大きな魅力。伝統の技に触れた後は、落ち着いた雰囲気の試飲コーナーで、清冽なしぼりたて生酒の試飲をどうぞ。直売コーナーでは、蔵元ならではお酒やオリジナル商品も販売しています。,火～日 10:00～17:00,月(祝日の場合は翌日),http://www.hamafukutsuru.co.jp/,,
神戸文学館,,,'6570838,'2413,神戸市灘区王子町3-1-2,34.709103,135.21322,078-882-2028,神戸文学館では、常設展示コーナー「みなと神戸の文学風景」で明治時代以降の神戸ゆかりの文学作品及び文学者の資料を時代ごとに展示している他、作家の足跡を紹介する「神戸文学地図」、神戸を舞台に活躍する作家の作品等1,平日 10:00～18:00 / 土・日・祝 9:00～17:00,水(祝日の場合は翌日),,,
菊正宗酒造記念館,,,'6580026,'2413,神戸市東灘区魚崎西町1-9-1,34.708612,135.267888,078-854-1029,国指定の重要有形民俗文化財「灘の酒造り道具」を展示する唯一の施設。丹波杜氏秘伝の「生もと造り」を今に伝えるお酒の博物館です。 搾りたての生酒をはじめ、いろいろなお酒の試飲が無料でできるので、じっくりお気に入りの一品を吟味することができます。,9:30～16:30 (入館は16:00まで),年末年始,http://www.kikumasamune.co.jp/kinenkan/,,
香雪美術館,,,'6580048,'2413,神戸市東灘区御影郡家2-12-1,34.723585,135.255889,078-841-0652,朝日新聞創設者 村山龍平(香雪)による、日本・東洋美術のコレクションを収蔵する私立美術館。重文18点・重美22点を筆頭に、絵画、書蹟、武具(刀剣・甲冑)、仏教美術、茶道具など幅広いジャンルの精髄を網羅。各回ごとにテーマを決め、展示公開しています。 また、村山家によって明治・大正期に建てられた洋館、日本館、茶室棟(通常は非公開)は、重要文化財に指定されています。,10:00～17:00 (入館は16:30まで),会期中無休　※但し展示替による臨時休館あり,http://www.kosetsu-museum.or.jp/,車いす用リフト（段差解消機）、階段昇降機を設置,
兵庫県立美術館王子分館（原田の森ギャラリー）,,ひょうごけんりつびじゅつかんおうじぶんかん（はらだのもりぎゃらりー）,'6570837,'2413,神戸市灘区原田通3丁目8-30,34.708598,135.214073,078-801-1591,兵庫県立美術館王子分館 原田の森ギャラリーは、平成14年4月に兵庫県立美術館「芸術の館」がHAT神戸に開館されたことにより、旧・兵庫県立近代美術館を活用し、その分館という位置づけで、平成１４年１０月１日に貸しギャラリーとしてオープンしました。旧・兵庫県立近代美術館は、昭和４５年に県政１００周年記念事業として誕生したメモリアルな建物であるとともに、都道府県立近代美術館としては全国で２番目に開館した美術館であり、我が国を代表する建築家の村野藤吾の作品でもあります。※耐震補強工事のため、平成29年3月31日（金）まで休館中です。なお、ギャラリー事務所は平常どおり業務を行っています（東館1階）。,10:00 - 18:00（ただし、耐震補強工事期間中は9:00～17:00）,月曜休館（祝日の場合は翌火曜が休館）,http://hyogo-arts.or.jp/harada/,車いす貸出し可能。障害者対応トイレあり,
横尾忠則現代美術館,,,'6570837,'2413,神戸市灘区原田通3-8-30,34.708541,135.2134,078-855-5607,横尾忠則現代美術館は、兵庫県西脇市出身の美術家、横尾忠則からの寄贈・寄託作品を適切な環境で保管し、多くの人に鑑賞していただくため、兵庫県立美術館王子分館（旧兵庫県立近代美術館、村野藤吾設計）の西館をリニューアルし、2012年11月に開館いたしました。,10:00～18:00（展覧会開催中の金・土は20時まで）※最終入場は閉館の30分前,月曜日（祝日の場合は翌日）,http://www.ytmoca.jp/,車椅子の貸出、2Fトイレ車椅子で利用可,http://www.wikidata.org/entity/Q11542451
HATなぎさの湯,,,'6500001,'2413,神戸市中央区脇浜海岸通1-3-3,34.689466,135.195729,,,,,,,
神戸市埋蔵文化財センター,,,'6512273,'2414,神戸市西区糀台6-1,34.714909,135.017872,078-992-0656,神戸市内には、五色塚古墳、大歳山遺跡などの学術上著名な遺跡が数多くあります。神戸市埋蔵文化財センターでは「よみがえる神戸の歴史」をテーマに、市内各所の遺跡で出土した遺物の調査・整理・収蔵を行っています。 常設展示室では、旧石器時代から中世に至るまでのさまざまな出土品を展示。収蔵スペースも展示公開されており、出土した資料を見学しながら神戸の歴史を身近に感じることができます。また、縄文土器作りや勾玉作りなどの体験講座や、年数回の企画展も開催しています。,火～日 10:00～17:00　臨時開館あり,月、祝日の翌日、年末年始、臨時休館あり,http://www.city.kobe.lg.jp/culture/culture/institution/center/,エレベーター、車いす利用者対応トイレ,http://www.wikidata.org/entity/Q11589921
こうべ環境未来館,,,'6512228,'2414,神戸市西区見津が丘1-9,34.741598,135.088543,078-995-3196,こうべ環境未来館は、神戸市資源リサイクルセンターに隣接する環境教育施設です。環境について、わかりやすく楽しみながら学習できます。ごみと資源の学者の展示(1F)や、再生品(自転車・家具)の展示(1F)などがあるほか、ビオトープ、太陽光発電設備、風力発電設備、電気自動車の急速充電器などもあります。,月～日(水は除く) 9:00～17:00,水,,,
神戸ワイナリー(農業公園),,,'6512204,'2414,神戸市西区押部谷町高和1557-1,34.733184,135.037754,078-991-3911,神戸市西区、見渡す限りのみどりに囲まれた小高い丘に、神戸市内で大切に育てられたぶどうが「神戸ワイン」に生まれ変わる場所、「神戸ワイナリー(農業公園)」があります。 自然豊かな園内は、陶芸館やバーベキュー広場などあり、大人から子供まで楽しめるちょっとしたテーマパークのよう。神戸ワインと共に、ゆったりと楽しい時間を過ごせることでしょう。,9:00～17:00,なし,,,
太山寺,,,'6512108,'2414,神戸市西区伊川谷町前開224,34.696579,135.067474,078-976-6658,本堂は神戸市内で唯一の国宝の建造物です。平面は密教本堂式と呼ばれる形態で、入母屋造、銅板葺きの造りになっています。桁行7間、梁間6間の大堂で、技法は和様を主としており、正面はすべて蔀戸を用いるなど、古い手法が守られています。ただ、唐様の木鼻をつけ、肘木の西側半分が唐様で、折衷形式を少し加えているのが特徴です。,8:30～17:00（12月から2月は16:30まで）,なし,,石段の手すり,http://www.wikidata.org/entity/Q3514066; http://www.wikidata.org/entity/Q11443909
大山寺温泉　なでしこの湯,,,'6512108,'2414,神戸市西区伊川谷町前開270-1,34.695716,135.063697,078-977-0261,,,,http://nadeshikonoyu.com/hotsprings.html,,
マリンピア神戸 さかなの学校,,,'6550036,'2415,神戸市垂水区海岸通12-4,34.624845,135.048189,078-706-5550,マリンピア神戸さかなの学校では、神戸を中心とした漁業を広く紹介し、漁業への親しみや理解を深める様々なイベントを実施しています。塩分を濃くした海水を土鍋で煮詰め、ミネラルたっぷりの塩を作る「塩づくり体験」や、神戸の海で養殖した新鮮な海苔を手すきして作る「乾のりづくり体験」(季節限定)、季節にあわせた工作をする「ものづくり体験」など、お子さまや家族みんなで楽しめるユニークな体験教室がいっぱい。手作りした塩や海苔は持ち帰ることができるので、お土産にもぴったりです。,10:00～17:00(ただし入館は16:30まで),水(祝日と重なる場合は翌日)、年末(12/28～12/31),http://www.marinpia.com/,,
神戸市立平磯海づり公園,,,'6550892,'2415,神戸市垂水区平磯1-1-66,34.626691,135.064071,078-753-3973,神戸市立平磯海づり公園は、どなたでも気軽に、安心して釣りが楽しめるフィッシングスポットです。園内には身障者用トイレ・優先釣り場・スロープなどを完備し、全長1,6:00～18:00（季節により異なる）,木(ただし祝日は開園、夏休み無休、12/29～1/3は休園),http://www.umiduri.com/,,
五色塚古墳,,,'6550035,'2415,神戸市垂水区五色山4-1,34.629532,135.045828,078-707-3131,千壺古墳とも呼ばれ、4世紀後半に築かれた兵庫県下最大の前方後円墳。築造当時の姿に復元され、雄大かつ高度な古代の土木技術を体感できます。また、淡路島や明石海峡大橋の眺めは抜群です。,9:00～17:00,12月～3月：月(祝日の場合は翌日) 　4月～11月：無休　年末年始休園,http://www.hi-net.zaq.ne.jp/bucdm105/,,
絵葉書資料館,,えはがきしりょうかん,'6550037,'2415,神戸市垂水区歌敷山1-7-20,34.634998,135.041934,078-705-1512,「絵葉書資料館」は、館長が30年以上にわたり収集してきた膨大な絵葉書コレクションの一部を、一般公開している世界的にも珍しい資料館。所蔵品は、絵葉書だけで1万枚以上。日本手彩色・美術・木版、海外のグリーティングや珍品など、明治後期～大正・昭和はじめにかけての国内外コレクションを常設展示しています。また、ユニークな視点で絵葉書をピックアップする企画展も定期的に開催。絵葉書が今に伝える古き良き風景・風俗・文化を通して、歴史を再発見してみてください。,木、金、土の11:00～17:30,日～水,http://www.ehagaki.org/,なし,
神戸市立須磨離宮公園,,,'6540018,'2416,神戸市須磨区東須磨1-1,34.653879,135.116307,078-732-6688,大阪湾が一望できる開放的で花と緑いっぱいの欧風噴水庭園には、「王侯貴族のバラ園」があり、春秋に約180種4000株のバラが咲き誇り、ボタンや花しょうぶ、紅葉、椿と四季を通じて楽しめます。また、フィールドアスレチック「子供の森・冒険コース」や「児童遊園」もあり、家族みんなで過ごせます。,9:00～17:00(入園は16:30まで) / ※イベント時に臨時の夜間開園あり,木(祝日の場合は翌日)・年末年始（12/29～1/3）,http://www.kobe-park.or.jp/rikyu/,一部対応（車いす用駐車場、車いす用トイレ、アシスト式車いすの貸出あり）,
須磨寺,,,'6540071,'2416,神戸市須磨区須磨寺町4-6-8,34.649247,135.111756,078-731-0416,真言宗須磨寺派の大本山。本尊の聖観世音菩薩をはじめ、無官の太夫・平敦盛の首塚や、敦盛首洗いの池、義経腰掛けの松など、源平ゆかりの史蹟が多く見られます。在原行平が創始したとされる一絃琴(須磨琴)が伝えられ、歴史・文化的にも価値のあるお寺です。,8:30～17:00,年中無休,http://www.sumadera.or.jp/,対応しています。エレベーター・スロープなど完備,
神戸市立須磨海づり公園,,こうべしりつすまうみづりこうえん,'6540076,'2416,神戸市須磨区一の谷町5丁目地先,34.634194,135.104508,078-735-2907,沖合い400メートルに突き出た釣台は、船釣り感覚で潮風に吹かれながら釣りを楽しむことができます。施設全体が大きな漁礁(魚の集まる場所)になっているので、四季を通じてさまざまな魚を釣ることができます。釣り台には一部(第3・4釣台)約80センチの柵を設置しているので、ご家族揃って、安心して釣りを楽しむことが出来ます。,4月・11月　6:00～18:00/ 5月　平日6:00～18:00、土日祝6:00～19:30/ 6月　平日6:00～18:00、土日祝6:00～20:00/ 7月～9月　平日6:00～19:00、土日祝6:00～20:00/ 10月　6:00～19:00/12月～3月　7:00～17:00,毎週火曜日、1月1日　ただし12月29日～31日、1月2日～3日は開演(祝日は開園、7月21日～8月31日は無休),http://www.umiduri.com/,,
六甲山カンツリーハウス,,,'6570101,'2417,神戸市灘区六甲山町北六甲4512-98,34.765075,135.24291,078-891-0366,六甲山カンツリーハウスは、国立公園「六甲山」の木々と緑に囲まれたレジャー施設です。園内にはパターゴルフやペダルボート等の自然をいかした遊具が多数あり、広大な芝生広場ではスポーツを楽しんだりワンちゃんとお散歩したり、思い思いの一日を満喫できます。ワンちゃんの開放エリアはHPにてご確認ください。自然に囲まれてゆっくりとした時間を過ごしたい方や、家族みんなのリフレッシュにおすすめです。,10:00～17:00（16:30最終受付）,"木(4/28,5/5,6/10~8/31,9/9~11/23は営業)及び4/11~4/13",,,
六甲山フィールド・アスレチック,,,'6570101,'2417,神戸市灘区六甲山町北六甲4512-98,34.767329,135.246692,078-891-0366,六甲山フィールド・アスレチックは、国立公園「六甲山」の木々と緑に囲まれた、全長1kmの本格的フィールドアスレチックコース。全40ポイントのアスレチックにはレベル別に2種類のスコアカードがあり、お子さまだけでなく家族みんなで楽しめる屋外レクリエーションスポットです。,10:00～17:00（15:30受付最終）,"木(4/28,5/5,7/21~8/31は営業)",,,
六甲高山植物園,,,'6570101,'2417,神戸市灘区六甲山町北六甲4512-150,34.761865,135.240472,078-891-1247,昭和8年(1933年)に開設され、高山植物園としては、わが国で長い歴史を誇る六甲高山植物園。世界の高山植物と寒冷地の植物を中心に、六甲山自生植物など約1,10:00～17:00(入園は16:30まで),9月に施設点検休あり。11月下旬～3月中旬は冬季休業,http://www.rokkosan.com/hana/,なし,
六甲ケーブル,,,'6570101,'2417,神戸市灘区高羽字西山8-2,34.737356,135.233567,078-861-5288,六甲山と神戸市街地を結ぶ六甲ケーブルは、昭和7年に開業した歴史あるケーブルカーです。六甲山の玄関口として、六甲ケーブル下駅から六甲山上駅までの約1.7kmを、約10分間で結びます。六甲山上駅には六甲山からの景色が一望できる天覧台(六甲山上展望台)があり、夜には1,7:10～21:10,なし,,,
六甲オルゴールミュージアム,,,'6570101,'2417,神戸市灘区六甲山町北六甲4512-145,34.761642,135.238351,078-891-1284,六甲オルゴールミュージアムは、六甲山上にあるオルゴールの博物館。主に19世紀から20世紀初頭にかけて製作されたヨーロッパやアメリカの様々なシリンダーやディスク・オルゴール、世界最大級のダンス・オルガンを含む種々の自動演奏楽器などが展示、紹介されています。 所蔵品は、オルゴール・コンサートの中でその音色をお楽しみいただけます。1時間に2種類のコンサートを行い、毎時間内容が変わります。,10:00～17:00 (最終受付16:20),9月1日（木）、8日（木）、11月24日(木)～3月16日（木）までの木曜日,http://www.rokkosan.com/museum/,エレベーター、車イス対応トイレあり。,
摩耶山天上寺,,,'6570105,'2417,神戸市灘区摩耶山町2-12,34.739025,135.204712,078-861-2684,国立公園摩耶山の山上にあり、豊かな自然に恵まれた摩耶山天上寺。四季折々の風景が楽しめる天空の舞台からは、晴れた日には淡路島・明石大橋・小豆島まで遠望できます。 全国で唯一の摩耶夫人堂が建つ天上寺の歴史は、大化2年(西暦646年)、孝徳天皇の勅願を受けたインドの高僧法道仙人が開創されたことに始まります。釈迦の生母で女人守護の仏でもある摩耶夫人は、特に安産・子授け・子育ての守護仏として信仰され、「摩耶山」という名の由来であると言われています。,9:00～17:00,なし,http://www.mayasan-tenjoji.jp/,,
六甲ガーデンテラス,,,'6570101,'2417,神戸市灘区六甲山町五介山1877-9,34.764056,135.246726,078-894-2281,六甲ガーデンテラスは、異国情緒漂うエリア内に4つの飲食店と5つのショップがあり、季節のグルメやショッピングが楽しめるレジャースポットです。展望スペースから見渡すパノラマの景色は圧巻!明石海峡から大阪平野、関西国際空港までが一望でき、夜には“1,9:30～21:00(季節・曜日・天候・店舗により異なる),なし(冬期は店舗により不定休)　※2017年3月7日、8日はメンテナンス休業,http://www.rokkosan.com/gt/,有り。一部石畳などあるため付き添いが必要です。,
神戸市立森林植物園,,,'6511102,'2417,神戸市北区山田町上谷上字長尾1-2,34.74081,135.178112,078-591-0253,六甲山の自然を活かした植物園で森と親しみ、世界の樹木などが楽しめます。新緑・つつじ・しゃくなげ・あじさい・もみじ散策などが見どころ。,9:00～17:00(入園16:30まで),水(祝日の場合翌日)、散策イベント期間中は無休,http://www.kobe-park.or.jp/shinrin/,なし,http://www.wikidata.org/entity/Q6424318
自然体感展望台 六甲枝垂れ,,,'6570101,'2417,神戸市灘区六甲山町五介山1877-9,34.764737,135.247263,078-894-2281,日本建築大賞など数々の受賞歴をもち、国内外で注目されている建築家三分一博志(さんぶいちひろし)により設計されました。 「六甲山上に立つ一本の大きな樹」がコンセプトの展望台では、夏の天然氷と風を利用した「冷風体験」や冬の「樹氷観測」など、六甲山の四季折々の自然を体感できる様々な試みがなされています。 また夜には、建物全体を覆う枝葉をイメージした檜のフレームに、1000万色以上の色彩表現が可能なLEDを照射する光の演出を実施しており、1000万ドルの夜景とももに、幻想的な光景が楽しめます。,3月中旬～1月中旬…10:00～21:00(最終受付20:30)  1月中旬～3月上旬…10:00～18:00(最終受付17:30)  ※天候等により変更の場合あり。,年中無休（2017年3月7日、8日はメンテナンス休業）,http://www.rokkosan.com/gt/,展望台内に階段なし。但し石畳のため付き添いが必要。,
神戸スカイアドベンチャーすずらん,,,'6511101,'2417,神戸市北区山田町小部字妙賀山11-1,34.735195,135.162434,078-597-7027,地上7mに設置されたアスレチックは、大人でも足が震えるほどの恐怖感を味わえるので、ゴールしたときの喜びや達成感は日常では味わえない感動です。 子供たちには試行錯誤しながら自由な発想で渡っていく学びや、最近当たり前のように体験できなくなった「冒険」をリアルに味わう事ができます。家族やカップルで参加すれば、会話は増え、笑顔があふれます。予約制で企業研修やチームビルディングも体験でき、通常の研修では味わえない一体感やチームの成長を体感出来ます。,9:00～18:00 最終予約受付 16:00 / 最終スタート 17:00 ※日没等により時間の変更あり,不定休。 ただし団体貸し切りやメンテナンスでご利用いただけない場合がございますので、電話でのご予約をおすすめします。,http://www.k-skyadv.com/,,
六甲山スノーパーク,,ろっこうさんすのーぱーく,'6570101,'2417,神戸市灘区六甲山町北六甲4512-98,34.766999,135.24192,078-891-0366,傾斜がゆるやかなゲレンデが子どもや初心者の練習にぴったりの「六甲山スノーパーク」。ペアリフトは親子で一緒に乗れるので、安心です。スキースクールでは指導員の丁寧な指導を下、スキーを基礎から学んで、楽しく上達しましょう。平日はもちろん、土日祝でも22時まで滑走できるので、お仕事帰りの練習も可能。レンタル備品も充実しているので、道具を持っていなくても大丈夫。スキー板やボードだけでなく、ウエアや短い板の「ファンスキー」もレンタルしています。,スキー 9：00～22：00スノーボード 16：00～22：00※　※平日（年末年始の間は除く）は9：00～22：00　スノーランド（雪ゾリ、雪あそび、専用ゲレンデ） 9:00～17:00,※冬季期間中無休,,,
天覧台,,,'6570101,'2417,神戸市灘区六甲山町一ヶ谷1-32,34.752018,135.237173,078-861-5288,六甲ケーブル下駅からレトロモダンな車両に乗って六甲山上駅へ。すぐそばにある天覧台は、昭和天皇の行幸でも有名な展望台。神戸はもちろん大阪平野や和歌山方面までワイドに広がる景色が一望でき、夜には1000万ドルの夜景が、圧倒的なスケール感で迫ってきます。,7:10～21:00,なし,,,
神戸映画資料館,,,'6530036,'2418,神戸市長田区腕塚町5-5-1-201,34.654365,135.146227,078-754-8039,神戸映画資料館では、映写機、ポスター、懐かしい雑誌、専門書などなど、映画に関するコレクションを見ることができます。また、併設のミニシアターではほぼ毎週末に上映会が開催され、懐かしい名画から最新のドキュメンタリーまで楽しめます。,金～火 10:30～18:00,水 / 木,www.kobe-eiga.net,,
神戸市水の科学博物館,,こうべしみずのかがくはくぶつかん,'6520004,'2418,神戸市兵庫区楠谷町37-1,34.693348,135.175132,078-351-4488,神戸市水の科学博物館は水をテーマにした博物館。3Dシアターの映像や水を使った理科の実験見学のほか、水について楽しく遊びながら学習できる展示物があります。建物はドイツルネッサンス風の重厚かつ優美な外観で、建築史上価値ある建物として高く評価されています。周辺は桜の名所としても有名です。,火～日　9:30～16:30,月(月が休日の場合が翌日),http://www.kobe-mizuhaku.net,,
蛭子神社,,,'6520806,'2418,神戸市兵庫区西柳原町5-20,34.669476,135.168155,078-651-0183,「柳原のえべっさん」の愛称で親しまれる蛭子神社。元禄5年(1691)、兵庫津の「寺社改帳」に神社のことが記されていることから、元禄以前から祀られていたことがわかります。 十日えびす大祭には、神戸中央卸売市場水産物卸協同組合より、大マグロやブリやタイなど海の幸がたくさん奉納されます。また9日宵えびすには淡路の人形浄瑠璃「戎舞」が奉納され、参拝者の楽しみの一つになっています。,9:00～17:00,なし,http://www.hyogo-ebisu.com/,,
